date,site,total_visitors,domestic_visitors,indian_visitors,international_visitors,temperature_c,rainfall_mm,festival,season
2010-06,Pashupatinath,22384,16135,4111,2138,22.4,261,0,monsoon
2014-02,Janakpur Dham,13358,8364,3682,1312,17.7,10,0,winter
2014-11,Pashupatinath,92596,68169,15614,8813,15.2,7,0,post-monsoon
2015-11,Lumbini,91904,50716,23923,17265,19.9,6,1,post-monsoon
2010-03,Lumbini,85688,49363,22266,14059,23.5,17,0,pre-monsoon
2014-12,Muktinath,2274,797,987,490,-3.3,5,0,winter
2011-05,Janakpur Dham,9688,6396,2763,529,30.6,68,0,pre-monsoon
2016-04,Janakpur Dham,19908,12575,5885,1448,29.7,23,0,pre-monsoon
2021-02,Muktinath,649,221,303,125,-2.0,12,0,winter
2025-07,Janakpur Dham,13012,8468,3543,1001,30.7,326,0,monsoon
2020-09,Janakpur Dham,2330,1560,632,138,30.3,238,0,post-monsoon
2023-02,Pashupatinath,164321,120354,27293,16674,12.7,21,1,winter
2020-04,Muktinath,1092,358,503,231,6.8,25,0,pre-monsoon
2017-01,Muktinath,2617,861,1127,629,-3.6,8,0,winter
2016-07,Lumbini,,,,,31.4,343,0,monsoon
2024-10,Pashupatinath,111342,77003,18622,15717,19.7,53,0,post-monsoon
2014-10,Muktinath,6961,2409,3208,1344,7.3,17,0,post-monsoon
2023-12,Pashupatinath,80754,56045,15343,9366,10.3,6,0,winter
2013-06,Janakpur Dham,9255,5773,2711,771,31.4,196,0,monsoon
2025-01,Lumbini,122562,70114,32243,20205,13.4,9,0,winter
2025-11,Muktinath,12847,4240,5925,2682,1.8,6,0,post-monsoon
2019-07,Lumbini,55128,32528,13992,8608,30.4,373,0,monsoon
2021-10,Lumbini,29830,16595,8222,5013,24.6,42,0,post-monsoon
2017-04,Muktinath,11365,3732,5107,2526,6.1,25,0,pre-monsoon
2016-08,Janakpur Dham,9890,6432,2645,813,28.7,345,0,monsoon
2010-05,Janakpur Dham,9066,6016,2560,490,32.8,70,0,pre-monsoon
2012-12,Lumbini,106191,63959,26671,15561,16.5,3,0,winter
2024-11,Muktinath,10853,3981,4873,1999,1.5,4,0,post-monsoon
2015-06,Janakpur Dham,5342,3370,1571,401,33.1,197,0,monsoon
2015-05,Lumbini,53016,30238,14981,7797,29.2,93,1,pre-monsoon
2023-06,Muktinath,3881,1287,1816,778,15.5,43,0,monsoon
2016-05,Pashupatinath,48152,35393,9258,3501,24.0,106,0,pre-monsoon
2016-03,Lumbini,149639,87619,42870,19150,21.6,16,0,pre-monsoon
2024-10,Janakpur Dham,20591,13796,6024,771,26.3,43,0,post-monsoon
2024-01,Pashupatinath,68469,48026,11055,9388,10.7,15,0,winter
2014-09,Lumbini,62251,35704,16757,9790,28.8,202,0,post-monsoon
2017-05,Pashupatinath,56600,39337,10815,6448,22.7,107,0,pre-monsoon
2012-05,Lumbini,77289,46506,21824,8959,31.0,82,1,pre-monsoon
2023-05,Pashupatinath,60169,43389,11050,5730,22.2,90,0,pre-monsoon
2025-05,Pashupatinath,59736,44494,9839,5403,22.7,100,0,pre-monsoon
2017-07,Muktinath,2234,730,1046,458,14.4,64,0,monsoon
2021-05,Pashupatinath,21530,15168,3543,2819,22.8,101,0,pre-monsoon
2016-09,Muktinath,5511,1864,2543,1104,11.8,39,0,post-monsoon
2023-01,Janakpur Dham,14500,9780,3952,768,14.6,11,0,winter
2021-08,Muktinath,562,192,242,128,13.3,50,1,monsoon
2023-04,Muktinath,9960,3286,4460,2214,6.6,20,0,pre-monsoon
2013-06,Lumbini,42893,25413,10838,6642,31.2,,0,monsoon
2016-03,Muktinath,7731,2784,3534,1413,2.6,21,0,pre-monsoon
2025-08,Lumbini,999999,31770,15097,6757,29.6,342,0,monsoon
November 2024,Pashupatinath,141099,104278,24505,12316,14.1,8,0,post-monsoon
2012-10,Janakpur Dham,10532,7084,3049,399,24.5,40,0,post-monsoon
2021-12,Lumbini,33865,18743,9407,5715,17.0,3,0,winter
2012-07,Lumbini,32400,17977,8385,6038,30.5,316,0,monsoon
2023-02,Lumbini,110946,61463,30037,19446,16.0,13,0,winter
2019-05,Muktinath,10385,3792,4784,1809,11.5,33,0,pre-monsoon
2013-11,Muktinath,5145,1659,2364,1122,2.8,5,0,post-monsoon
2022-12,Muktinath,2313,863,1060,390,-4.3,4,0,winter
2012/05,Pashupatinath,38004,26872,6136,4996,22.8,110,0,pre-monsoon
2019-11,Muktinath,11249,4226,5019,2004,2.7,5,0,post-monsoon
2019-10,Janakpur Dham,21626,14139,6318,1169,24.9,46,0,Monsoon
2017-11,Lumbini,204256,120402,59229,24625,18.6,6,1,post-monsoon
2024-06,Muktinath,4336,1534,1926,876,14.5,36,0,monsoon
2022-04,Pashupatinath,72207,52527,11890,7790,21.5,58,0,pre-monsoon
2022-02,Muktinath,2501,818,1101,582,-3.4,11,0,winter
2014-09,Muktinath,5238,1952,2372,914,12.1,34,0,post-monsoon
2011-08,Janakpur Dham,5312,3422,1537,353,30.6,310,0,monsoon
2016-06,Lumbini,57121,34400,15297,7424,31.0,208,0,monsoon
2021-06,Janakpur Dham,4664,2939,1218,507,31.1,187,0,monsoon
July 2016,Pashupatinath,29316,21548,5575,2193,22.8,430,0,monsoon
2013-09,Lumbini,60393,34986,16959,8448,29.0,215,0,post-monsoon
2015-01,Muktinath,805,303,365,137,-3.3,8,0,winter
2020-03,Muktinath,765,277,354,134,3.9,20,0,pre-monsoon
2013-10,Pashupatinath,82336,60738,14829,6769,19.7,55,0,post-monsoon
2021/11,Janakpur Dham,10498,7013,2894,591,21.3,4,0,post-monsoon
2023-09,Pashupatinath,55241,39504,10860,4877,22.1,258,0,post-monsoon
2016-11,Janakpur Dham,29848,19749,8021,2078,20.8,5,1,post-monsoon
2021-03,Janakpur Dham,8728,5432,2371,925,22.1,11,0,pre-monsoon
2010-06,Muktinath,,,,,15.4,33,0,monsoon
2019-10,Lumbini,157629,90393,43155,24081,25.5,48,0,post-monsoon
2021-07,Janakpur Dham,3612,2372,1070,170,30.5,350,0,monsoon
2012-08,Muktinath,1470,485,683,302,14.3,43,1,monsoon
2020-02,Janakpur Dham,3133,2001,882,250,18.5,12,0,winter
2012-04,Janakpur Dham,15865,10483,4383,999,27.5,21,0,pre-monsoon
2018-06,Janakpur Dham,13368,8823,3923,622,31.0,162,0,monsoon
2023-03,Pashupatinath,116264,85359,22947,7958,17.8,29,0,pre-monsoon
2012-05,Janakpur Dham,9492,6141,2831,520,31.2,80,0,pre-monsoon
2019-10,Pashupatinath,135986,99277,22695,14014,18.6,45,0,post-monsoon
2018-05,Lumbini,104355,61173,28878,14304,30.9,79,1,pre-monsoon
2025-09,Muktinath,9878,3695,4566,1617,13.5,39,0,post-monsoon
2025-07,Lumbini,43286,25101,10954,7231,28.7,355,0,monsoon
2022-04,Muktinath,7098,2546,3328,1224,8.5,20,0,pre-monsoon
2024-03,Janakpur Dham,32712,20691,8615,3406,22.9,12,1,pre-monsoon
Jul-2024,Muktinath,2562,960,1112,490,15.0,49,0,monsoon
2018-07,Janakpur Dham,12015,7888,3460,667,31.5,392,0,monsoon
2019-07,Pashupatinath,41692,31219,7492,2981,23.5,390,0,monsoon
2016-09,Lumbini,84190,47496,21295,15399,27.5,222,0,post-monsoon
2013-02,Pashupatinath,116178,80811,22757,12610,13.7,21,1,winter
2018-05,Janakpur Dham,16531,10879,4694,958,30.5,76,0,pre-monsoon
2021-05,Janakpur Dham,5668,3717,1700,251,32.3,67,0,pre-monsoon
2020-06,Muktinath,324,103,145,76,12.6,36,0,monsoon
2019-05,Pashupatinath,73931,54488,13001,6442,22.9,126,0,pre-monsoon
2022-03,Pashupatinath,125486,88333,24593,12560,16.2,31,1,pre-monsoon
2011-02,Pashupatinath,94669,65745,18884,10040,13.3,18,1,winter
2015-04,Muktinath,3093,1026,1405,662,6.8,22,0,pre-monsoon
2012-10,Pashupatinath,65953,47845,12339,5769,18.0,55,0,post-monsoon
2024-08,Janakpur Dham,12315,7685,3407,1223,28.8,334,0,monsoon
2021-09,Janakpur Dham,4634,2880,1288,466,28.2,164,0,post-monsoon
2024-02,Lumbini,131170,74393,37073,19704,18.1,14,0,winter
2024-04,Muktinath,13145,4806,5847,2492,7.2,28,0,pre-monsoon
2025-07,Muktinath,"3,400",1133,1552,715,15.7,63,0,monsoon
2016-02,Lumbini,153836,89101,43833,20902,18.2,12,0,winter
2019-06,Lumbini,67725,38211,19045,10469,30.3,248,0,monsoon
2010-11,Janakpur Dham,20559,13128,5583,1848,21.6,5,1,post-monsoon
2010-12,Janakpur Dham,20845,13237,5940,1668,15.2,3,0,  winter  
2016-03,Pashupatinath,139545,103105,23900,12540,15.4,32,1,pre-monsoon
2015-05,Pashupatinath,31102,22601,5498,3003,21.7,104,0,pre-monsoon
2020-01,Janakpur Dham,2497,1656,706,135,14.5,13,0,winter
2015-11,Pashupatinath,54425,39466,10754,4205,15.0,8,0,post-monsoon
2013-02,Muktinath,1996,680,894,422,-1.3,13,0,winter
2014-03,Janakpur Dham,19290,12743,5661,886,24.1,13,1,pre-monsoon
2012-03,Janakpur Dham,15834,10516,4676,642,22.1,12,1,pre-monsoon
2020-07,Pashupatinath,6046,4248,1046,752,22.9,428,0,monsoon
2019-06,Pashupatinath,58309,40747,11490,6072,23.8,226,0,monsoon
2020-09,Lumbini,8670,5284,2488,898,28.6,250,0,post-monsoon
2018-06,Pashupatinath,42979,29723,7523,5733,24.7,,0,monsoon
2022-03,Janakpur Dham,20594,13523,5913,1158,22.5,14,1,pre-monsoon
2014-07,Muktinath,1485,563,689,233,15.1,45,0,monsoon
2022-06,Pashupatinath,36004,26546,5979,3479,23.2,225,0,monsoon
2019-06,Janakpur Dham,16834,10881,4564,1389,32.9,186,0,monsoon
2022-12,Lumbini,96253,54409,27300,14544,14.1,3,0,winter
2022-01,Lumbini,81883,45632,21464,14787,13.3,11,0,winter
2010-04,Muktinath,4641,1522,2010,1109,,25,0,pre-monsoon
2022-05,Janakpur Dham,12813,7951,3698,1164,32.1,73,0,pre-monsoon
2019-10,Muktinath,11763,4048,5197,2518,6.2,14,0,post-monsoon
2024-12,Lumbini,111686,66526,28079,17081,16.2,3,0,winter
2021-04,Muktinath,2479,855,1147,477,8.6,22,0,pre-monsoon
2020-05,Pashupatinath,12100,8720,2193,1187,21.3,108,0,pre-monsoon
2021-10,Pashupatinath,44366,30943,8395,5028,20.8,48,0,post-monsoon
2025-11,Lumbini,155383,92785,39581,23017,19.7,6,1,post-monsoon
2023-10,Muktinath,9634,3358,4419,1857,,16,0,Pre-Monsoon
2021-04,Pashupatinath,29080,21407,4870,2803,19.7,53,0,pre-monsoon
2011-04,Lumbini,77240,47106,20393,9741,28.8,24,0,pre-monsoon
2016-06,Muktinath,2662,853,1189,620,13.4,40,0,monsoon
2023-02,Janakpur Dham,14011,8842,3834,1335,17.3,11,0,winter
2012-08,Pashupatinath,26713,19599,4667,2447,24.2,358,0,monsoon
2018-10,Lumbini,155222,94005,39179,22038,26.8,38,0,post-monsoon
2020-04,Pashupatinath,15647,11498,2526,1623,19.5,60,0,pre-monsoon
2016-11,Muktinath,7128,2439,3236,1453,2.1,5,0,post-monsoon
2012-09,Pashupatinath,40254,27993,7785,4476,22.0,219,0,post-monsoon
2017-09,Muktinath,6609,2249,2984,1376,11.0,36,0,post-monsoon
2012-01,LUMBINI,79724,48483,22749,8492,15.8,12,0,winter
2017-04,Janakpur Dham,28256,19207,8279,770,30.0,18,1,pre-monsoon
2014-04,Janakpur Dham,18110,11891,4824,1395,29.5,17,0,pre-monsoon
2022-07,Pashupatinath,27856,19276,5091,3489,24.8,426,0,monsoon
November 2014,Lumbini,"136,927",83415,35012,18500,20.0,5,1,post-monsoon
2013-03,Janakpur Dham,14885,10051,4218,616,23.1,11,0,pre-monsoon
2014-11,Janakpur Dham,29352,18500,8218,2634,20.2,6,1,post-monsoon
2021-02,Pashupatinath,53002,39654,10315,3033,13.5,18,1,winter
2025-12,Janakpur Dham,60714,39911,16326,4477,14.4,3,1,winter
2022-11,Lumbini,140155,85118,39450,15587,19.4,5,1,post-monsoon
2013-02,Janakpur Dham,11484,7631,3324,529,17.6,8,0,winter
2021-12,Muktinath,731,263,323,145,-2.2,6,0,winter
2017-03,Lumbini,162326,94219,40851,27256,21.4,18,0,pre-monsoon
2016-12,Pashupatinath,67246,48394,10914,7938,11.3,5,0,winter
2019-05,Lumbini,107585,63115,28665,15805,31.5,93,1,pre-monsoon
2018-08,Muktinath,2653,910,1195,548,14.5,52,1,monsoon
2023-06,Lumbini,41477,23057,11464,6956,31.8,199,0,monsoon
2010-08,Pashupatinath,22991,15998,4307,2686,23.6,289,0,monsoon
2018-11,Lumbini,194228,109817,50770,33641,19.4,6,1,post-monsoon
2011-08,Lumbini,40254,23172,10682,6400,30.0,311,0,monsoon
2024-03,Lumbini,151101,85392,42338,23371,22.4,17,0,pre-monsoon
2023-07,Muktinath,2339,828,1030,481,14.8,57,0,monsoon
2013-01,Pashupatinath,53571,37793,9985,5793,11.8,15,0,winter
2021-09,Lumbini,"17,867",10862,4775,2230,27.9,221,0,post-monsoon
2025-01,Janakpur Dham,16277,10501,4341,1435,15.1,12,0,winter
2023-11,Janakpur Dham,9999999,20985,9388,990,19.8,6,0,post-monsoon
2010-09,Janakpur Dham,8415,5243,2357,815,29.7,229,0,post-monsoon
2012-02,Lumbini Garden,89682,51457,25140,13085,17.6,10,0,winter
2020-10,Lumbini,16297,9573,4132,2592,26.3,34,0,post-monsoon
2021-07,Muktinath,417,149,185,83,15.6,48,0,monsoon
2020-12,Muktinath,357,128,167,62,-2.2,6,0,winter
2024-02,Janakpur Dham,20193,13513,5635,1045,17.1,9,0,winter
2013-12,Janakpur Dham,28770,19267,8388,1115,14.4,3,1,winter
2016-01,Janakpur Dham,12564,7793,3670,1101,14.8,12,0,winter
2017-09,Lumbini,94027,56616,25652,11759,27.1,258,0,post-monsoon
2010-11,Lumbini,104907,62916,26382,15609,20.3,4,1,post-monsoon
2025-09,Lumbini,64323,36644,17197,10482,27.3,195,0,post-monsoon
2012-01,Muktinath,1656,625,725,306,-3.9,7,0,winter
2015-07,Janakpur Dham,4045,2602,1181,262,31.7,308,0,monsoon
2019-07,Muktinath,2563,882,1108,573,14.5,46,0,monsoon
2014-03,Muktinath,5261,1759,2264,1238,2.9,18,0,pre-monsoon
2014-12,Pashupatinath,58710,42381,10663,5666,11.6,5,0,winter
2023-07,Pashupatinath,31862,23743,5539,2580,23.5,405,0,  monsoon  
2011-06,Muktinath,1841,663,825,353,13.7,42,0,monsoon
2024-04,Lumbini,-500,66462,30774,14168,27.0,25,0,pre-monsoon
2011-08,Pashupatinath,25858,17881,4248,3729,22.4,359,0,monsoon
2021-07,Pashupatinath,11799,8236,1917,1646,25.5,344,0,monsoon
2018-09,Pashupatinath,73456,54267,14690,4499,24.0,256,0,post-monsoon
2019-09,Muktinath,7850,2747,3624,1479,12.6,29,0,post-monsoon
2025-05,Lumbini,85970,50596,21715,13659,30.7,82,1,pre-monsoon
2013-06,Muktinath,2068,741,946,381,14.0,37,0,monsoon
2010-05,Muktinath,"3,729",1356,1717,656,10.0,31,0,pre-monsoon
2025-03,Muktinath,12687,4175,5899,2613,3.1,18,0,  pre-monsoon  
2019-05,Janakpur Dham,18247,11496,4851,1900,32.9,-5,0,pre-monsoon
2013-08,Pashupatinath,33274,24271,6080,2923,22.6,322,0,monsoon
2011-07,Janakpur Dham,6530,4075,1833,622,29.5,416,0,monsoon
2012-11,Pashupatinath,74584,54350,12453,7781,15.4,8,0,  post-monsoon  
2013-02,Lumbini,108301,59607,28318,20376,17.4,14,0,winter
2012-04,Pashupatinath,55151,41269,10947,2935,19.5,55,0,pre-monsoon
2021-01,Pashupatinath,26900,18690,4868,3342,10.5,18,0,winter
2013-05,Pashupatinath,44080,30439,7231,6410,23.0,88,0,pre-monsoon
2015-07,Pashupatinath,19040,13941,3407,1692,22.8,369,0,monsoon
2013-09,Pashupatinath,40560,28580,8068,3912,22.2,289,0,post-monsoon
2010-07,Lumbini,27339,15445,7369,4525,29.2,454,0,monsoon
2018-10,Pashupatinath,133536,99709,25904,7923,18.7,54,0,post-monsoon
2010-08,Muktinath,966,353,432,181,15.3,41,1,monsoon
2022-11,Janakpur Dham,27320,18278,7930,1112,19.2,4,1,post-monsoon
2014-11,Muktinath,5746,2048,2615,1083,1.8,5,0,post-monsoon
2022-05,Lumbini,75214,44839,18836,11539,30.2,79,1,pre-monsoon
2018-02,Muktinath,4237,1514,1918,805,-1.6,11,0,winter
2014-07,Janakpur Dham,6773,4266,2002,505,29.7,330,0,monsoon
2020-11,Muktinath,793,283,363,147,0.0,4,0,post-monsoon
2021-08,Janakpur Dham,3214,1999,906,309,29.8,363,0,monsoon
2020-10,Pashupatinath,19461,13852,3616,1993,19.7,52,0,post-monsoon
2010-07,Pashupatinath,17772,12332,3518,1922,25.4,416,0,monsoon
2017-11,Muktinath,7684,2548,3321,1815,1.0,5,0,post-monsoon
Apr-2025,Pashupatinath,104247,78087,18871,7289,19.2,50,0,pre-monsoon
2025-01,Pashupatinath,76009,53789,15045,7175,11.6,13,0,winter
2023-08,Muktinath,2281,864,998,419,15.4,58,1,monsoon
2016-12,Lumbini,145057,87128,40938,16991,15.8,3,0,winter
2017-06,Pashupatinath,45730,31858,8217,5655,22.3,247,0,monsoon
2012-05,Muktinath,4613,1532,2017,1064,12.2,32,0,pre-monsoon
2020-11,Pashupatinath,24686,17930,4184,2572,13.6,7,0,post-monsoon
2011-06,Lumbini,35355,21009,9176,5170,29.8,207,0,monsoon
2018/09,Janakpur Dham,,,,,29.2,207,0,post-monsoon
2019-03,Muktinath,11636,3729,5467,2440,3.5,23,0,pre-monsoon
2012-10,Lumbini,104242,61451,29607,13184,26.6,43,0,post-monsoon
2022-12,Janakpur Dham,24155,15937,6677,1541,14.7,3,0,winter
2025-04,Janakpur Dham,37520,24458,10771,2291,28.8,22,1,pre-monsoon
2025-12,Lumbini,117102,68424,32028,16650,14.6,3,0,winter
2018-12,Pashupatinath,99226,70598,16326,12302,11.7,5,0,winter
2021-12,Janakpur Dham,16222,10716,4584,922,16.3,3,1,winter
2021-01,Muktinath,610,206,264,140,-3.2,8,0,winter
2011-10,Lumbini,95717,55328,26277,14112,24.5,48,0,post-monsoon
2020-02,Lumbini,15528,8751,4102,2675,15.7,12,0,winter
2022-01,Janakpur Dham,9039,5614,2649,776,14.1,13,0,winter
2010-03,Janakpur Dham,15966,10597,4701,668,22.3,13,1,pre-monsoon
2010-06,Janakpur Dham,6300,3967,1836,497,32.7,191,0,monsoon
2019-12,Lumbini,188330,105032,47866,35432,16.2,3,0,winter
2011-02,Lumbini,89099,53740,24469,10890,16.2,10,0,winter
2020-02,Pashupatinath,27814,19293,4758,3763,13.4,22,0,winter
2025-10,Muktinath,14899,5295,6800,2804,5.7,15,0,post-monsoon
2013-11,Pashupatinath,79677,58430,13643,7604,13.4,8,0,post-monsoon
2012-09,Muktinath,3429,1212,1546,671,12.7,40,0,post-monsoon
2011-11,Muktinath,3614,1170,1621,823,2.7,5,0,post-monsoon
2020-05,Muktinath,837,274,380,183,9.7,33,0,pre-monsoon
2011-01,Pashupatinath,39794,29436,6934,3424,10.1,15,0,winter
2017-03,Muktinath,8362,2858,3668,1836,,20,0,pre-monsoon
2024-07,Janakpur Dham,11452,7211,3278,963,31.9,359,0,monsoon
2017-01,Lumbini,"133,549",74348,34828,24373,13.2,10,0,winter
2016-08,Pashupatinath,"37,327",27606,6450,3271,25.0,325,0,monsoon
2010-06,Lumbini,34353,20403,9696,4254,31.5,237,0,monsoon
2024-03,Muktinath,10054,3391,4483,2180,4.3,24,0,pre-monsoon
2018-08,Janakpur Dham,12506,8155,3495,856,29.7,276,0,monsoon
2019-02,Pashupatinath,218601,152592,35227,30782,13.3,21,1,winter
2011-09,Lumbini,55898,33381,14174,8343,28.3,253,0,post-monsoon
2023-10,Janakpur Dham,17158,10744,4579,1835,26.2,41,0,post-monsoon
2021-08,Pashupatinath,16492,11631,3088,1773,24.6,353,0,monsoon
2011-07,Muktinath,1030,333,464,233,15.9,54,0,monsoon
2017-05,Janakpur Dham,16147,10076,4259,1812,33.0,65,0,pre-monsoon
2011-05,Pashupatinath,35346,24523,6095,4728,22.0,120,0,pre-monsoon
2010-02,Lumbini,80596,44843,20391,15362,17.7,12,0,winter
2023-09,Muktinath,7734,2920,3486,1328,13.4,39,0,post-monsoon
2025-02,Janakpur Dham,19553,12712,5655,1186,18.9,9,0,winter
2012-02,Pashupatinath,99126,68438,17885,12803,12.3,18,0,winter
2013-10,Janakpur Dham,13062,8789,3821,452,26.6,38,0,post-monsoon
2025-03,Lumbini,142595,83501,37881,21213,22.2,16,0,pre-monsoon
2025-07,Pashupatinath,35232,26212,6868,2152,24.3,385,0,monsoon
2011-12,Pashupatinath,48672,36190,8837,3645,12.1,6,0,winter
2023-08,Lumbini,46343,26550,11967,7826,28.4,366,0,monsoon
2013-08,Lumbini,47743,26631,13383,7729,28.1,283,0,monsoon
2024-08,Lumbini,,,,,30.3,302,0,monsoon
2020-08,Pashupatinath,8072,5898,1546,628,23.8,284,0,monsoon
2018-03,Pashupatinath,201296,147326,36523,17447,15.9,34,1,pre-monsoon
2024-08,Muktinath,2837,937,1318,582,13.8,59,1,monsoon
2010-04,Pashupatinath,45978,33172,8150,4656,19.6,57,0,pre-monsoon
2012-04,Lumbini,82639,45905,23560,13174,27.3,21,0,pre-monsoon
2016-03,Pashupatinath,139545,103105,23900,12540,15.4,32,1,pre-monsoon
2011-06,Pashupatinath,27184,20204,4862,2118,22.7,271,0,monsoon
2010-02,Pashupatinath,70819,49111,13784,7924,12.8,22,0,winter
2025-04,Muktinath,16017,5161,6969,3887,8.3,20,0,pre-monsoon
2014-07,Pashupatinath,26325,19425,4896,2004,24.6,414,0,monsoon
2013-09,Janakpur Dham,9212,5799,2454,959,,175,0,post-monsoon
2017-06,Muktinath,"3,120",1002,1435,683,13.9,37,0,monsoon
2024-06,Lumbini,56833,31986,15358,9489,32.0,240,0,monsoon
2013-04,Lumbini,81592,48601,22164,10827,29.4,23,0,pre-monsoon
2017-02,Muktinath,3268,1059,1458,751,-2.6,13,0,winter
2010-07,Janakpur Dham,4789,3210,1247,332,31.1,416,0,monsoon
2016-01,Lumbini,149441,82552,42543,24346,14.7,10,0,winter
2022-07,Lumbini,30345,16711,7879,5755,31.4,426,0,monsoon
2024-05,Pashupatinath,59153,43356,11023,4774,21.1,98,0,pre-monsoon
2014-02,Pashupatinath,114181,80802,20027,13352,13.6,19,0,winter
2025-01,Muktinath,3657,1185,1710,762,-4.0,8,0,winter
2024-12,Pashupatinath,94101,66443,17405,10253,10.9,5,0,winter
2020-11, Lumbini,23264,13784,5849,3631,19.4,5,1,post-monsoon
2019-12,Janakpur Dham,48858,31190,14310,3358,13.7,3,1,winter
2019-12,Pashupatinath,104272,73238,18202,12832,11.2,5,0,winter
2018-02,Pashupatinath,142830,102526,24871,15433,12.8,17,0,winter
2020-05,Lumbini,12868,7508,3593,1767,30.4,66,1,pre-monsoon
2010-09,Muktinath,2903,934,1255,714,13.2,30,0,post-monsoon
2016-05,Janakpur Dham,15309,10040,4380,889,32.7,72,0,pre-monsoon
2024-09,Janakpur Dham,18121,11954,4767,1400,28.6,204,0,post-monsoon
2015-09,Pashupatinath,31697,21957,5546,4194,22.9,250,0,post-monsoon
2014-05,Janakpur Dham,12822,8126,3394,1302,30.5,56,0,pre-monsoon
2022-01,Pashupatinath,54718,39472,9540,5706,11.9,14,0,winter
2017-08,Muktinath,2575,976,1136,463,15.9,48,1,monsoon
2020-12, Lumbini,15671,8701,4505,2465,15.7,3,0,winter
2020-06,Lumbini,6857,4165,1762,930,31.6,194,0,monsoon
2013-11,Lumbini,152912,86127,38731,28054,20.5,,1,post-monsoon
2025-02,Lumbini,131350,80094,34772,16484,16.8,13,0,winter
2010-01,Pashupatinath,37434,27964,7085,2385,11.1,13,0,winter
2010-06,Muktinath,,,,,15.4,33,0,monsoon
2016-04,Muktinath,8224,2945,3836,1443,7.8,29,0,pre-monsoon
2017-11,Janakpur Dham,,,,,21.3,5,0,post-monsoon
2018-01,Pashupatinath,85537,63589,15244,6704,11.2,14,0,winter
2023-08,Pashupatinath,39021,27450,6949,4622,22.7,296,0,monsoon
2012-03,MUKTINATH,5124,1803,2235,1086,3.6,22,0,pre-monsoon
2013-03,Pashupatinath,88546,62952,16738,8856,17.7,35,0,pre-monsoon
2022-07,Janakpur Dham,6793,4351,1992,450,31.8,306,0,monsoon
2019-03,Pashupatinath,-500,116399,27403,21826,15.0,28,0,pre-monsoon
2015-01,Lumbini,58043,33144,14587,10312,13.2,10,0,winter
2022-09,Lumbini,61712,34304,16633,10775,27.5,205,0,post-monsoon
2015-05,Muktinath,2534,811,1090,633,10.2,24,0,pre-monsoon
2010-12,Lumbini,68784,38148,19111,11525,15.0,3,0,winter
2021-03,Pashupatinath,42415,30967,8363,3085,16.7,31,0,pre-monsoon
2017-09,Janakpur Dham,12256,8160,3492,604,29.8,163,0,post-monsoon
01/08/2012,Lumbini,43957,25482,11834,6641,29.8,395,0,monsoon
2012-06,Janakpur Dham,7001,4623,2093,285,30.8,161,0,monsoon
2014-08,Muktinath,1901,621,824,456,15.7,53,1,monsoon
